scenario_id,test_id,flight_phase_code,flight_phase_name,phase_fault_definition,weather_code,weather_name,weather_meaning,mode_code,mode_name,mode_meaning,is_faulted,applied_fault,scenario_file_name,scenario_file_path,output_dir,random_seed,run_duration_sec
S0001,T0001,P01,Takeoff,Engine response degradation,W01,Calm,"Low wind, no gust, nominal visibility",M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0001_P01_W01_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0001_P01_W01_M0.xml,outputs/T0001,43,90
S0002,T0002,P01,Takeoff,Engine response degradation,W01,Calm,"Low wind, no gust, nominal visibility",M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Engine response degradation,S0002_P01_W01_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0002_P01_W01_M1.xml,outputs/T0002,44,90
S0003,T0003,P01,Takeoff,Engine response degradation,W02,Light wind,Low-to-moderate steady wind,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0003_P01_W02_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0003_P01_W02_M0.xml,outputs/T0003,45,90
S0004,T0004,P01,Takeoff,Engine response degradation,W02,Light wind,Low-to-moderate steady wind,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Engine response degradation,S0004_P01_W02_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0004_P01_W02_M1.xml,outputs/T0004,46,90
S0005,T0005,P01,Takeoff,Engine response degradation,W03,Crosswind,Directional crosswind appropriate to phase,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0005_P01_W03_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0005_P01_W03_M0.xml,outputs/T0005,47,90
S0006,T0006,P01,Takeoff,Engine response degradation,W03,Crosswind,Directional crosswind appropriate to phase,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Engine response degradation,S0006_P01_W03_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0006_P01_W03_M1.xml,outputs/T0006,48,90
S0007,T0007,P01,Takeoff,Engine response degradation,W04,Gust / turbulence,Moderate gust and turbulence profile,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0007_P01_W04_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0007_P01_W04_M0.xml,outputs/T0007,49,90
S0008,T0008,P01,Takeoff,Engine response degradation,W04,Gust / turbulence,Moderate gust and turbulence profile,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Engine response degradation,S0008_P01_W04_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0008_P01_W04_M1.xml,outputs/T0008,50,90
S0009,T0009,P01,Takeoff,Engine response degradation,W05,Low visibility / rain,Reduced visibility and precipitation setting,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0009_P01_W05_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0009_P01_W05_M0.xml,outputs/T0009,51,90
S0010,T0010,P01,Takeoff,Engine response degradation,W05,Low visibility / rain,Reduced visibility and precipitation setting,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Engine response degradation,S0010_P01_W05_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0010_P01_W05_M1.xml,outputs/T0010,52,90
